Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,Operating Expenses (Million Rs.),,224,288,350,384,446,512,512,881,913,1375,1491,2515,3047,3784,5182,6450,6955,8128,8587,9324,10038,10382,11663,12938,15728,16966,18861,21347,22713,24199,27150,32809,,16587,36395,42033,23296,39377,39125,47197,62360,79164,76416,120579,98629,106811,133930,129588,114944,108478,121863,122193,170447,166917,95670,101212,183345,235317,194807,198263,
Pakistan International Airlines Corporation-Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Passengers (Million Km),,962,1271,1406,1551,1754,2053,1593,1361,1594,2231,2936,3759,4414,4806,5180,6040,6246,6659,6759,6895,7063,7336,8380,9115,9302,8998,9925,10102,10108,10382,10592,11661,11147,10722,10653,12056,6305,10843,11276,12769,13635,15124,13681,13925,13891,15663,13874,12237,11903,11711,13751,13988,13975,14938,6629,5138,10497,11468,9918,10172,
,Revenue Passengers Carried (000),,682,955,1097,1223,1378,1230,880,689,925,1251,1634,2129,2558,2639,2853,3136,3202,3408,3554,3707,3988,4264,4717,5067,5136,5033,5584,5780,5645,5517,5399,5883,5531,5086,4914,5297,2729,4290,4391,4796,5132,5732,5415,5617,5535,5953,5236,4449,4202,4394,5486,5342,5203,5290,2541,2657,4281,4496,3904,3791,
,Revenue Load Factor (%),,70.2,63.7,60.3,59.6,62.7,59.1,56.4,56.8,54.5,55.4,55.8,58.4,60.3,60.3,57.7,59.5,63.8,67.2,64.6,65.7,65.7,63.8,64.9,66.2,65.3,67.1,65.9,64.2,66.7,65.5,63.9,66.5,65.8,64,59.7,64.5,63.8,68.7,69.3,69.8,67,54,51,54,52,56,53,55,52,49,49,55,58,59,52,54,58,61,64.4,64,
,Revenue Km Flown (000),,18758,22759,26772,28145,29409,30460,25670,22321,23784,28629,33931,36070,42909,48108,50298,48962,45337,45232,46753,48047,51217,52041,56937,60705,62626,60255,66570,69377,69024,72544,74288,78796,73663,70697,75483,76212,40158,62974,63863,58146,80699,88302,80759,79580,80108,84898,75750,63144,61389,67630,79842,75207,70089,70515,37403,34544,53811,57122,51984,53841,
,Revenue Tonne (Million Km),,131,161,187,203,229,253,227,184,315,319,399,493,585,658,706,805,816,849,877,931,959,991,1126,1245,1287,1228,1304,1333,1365,1408,1402,1495,1425,1313,1307,1452,769,1325,1389,1456,1657,1801,1593,1580,1525,1678,1513,1351,1242,1191,1375,1469,1472,1539,695,547,1048,1149,1030,1049,
,Revenue Hours Flown,,46571,48962,56658,58991,61723,59488,60016,41394,44581,52542,63472,68190,79453,86801,91618,90126,83879,87030,90898,93077,99124,102008,110415,117515,120948,116616,127423,132775,131122,134683,138014,143686,136104,129379,135136,134066,65615,110136,108942,96765,131262,141479,132416,132378,132155,141727,127268,106476,101556,111455,131838,122081,110050,110640,57370,55710,84742,90067,82043,79862,
,Operating Revenue (Million Rs.),,264,388,387,425,490,539,512,885,913,1596,2045,2667,3318,4085,5254,6521,7178,8569,9298,10192,10621,11162,12487,13908,16412,16849,20441,21970,23631,25417,27505,32732,,17332,35492,39228,21966,42844,45442,51041,61307,70587,70481,89201,94564,116550,112130,95771,99519,91269,88998,90288,100051,147500,94989,86185,172038,238505,204164,211667,
Motor Vehicles Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
