Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,"COMBO, I (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3999.76,5071.73,,,,,,,,,,,,,,,,,
,"COMBO, II (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720.09,4612.52,,,,,,,,,,,,,,,,,
,"COMBO, III (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D.P.T, I (000)",,,,,,,,,,,,,,,,,,,,,,,4091.29,3638.81,4805.08,4739.56,4698.42,5070.1,4693.2,4688.77,4558.09,4768.67,4427.75,4581.35,,,,,,,,,,,,,,,,,,,,
,"D.P.T, II (000)",,,,,,,,,,,,,,,,,,,,,,,3646.72,3125.08,4294.11,4212.95,4162.72,4530.16,4140.53,4175.55,4038.63,4227.75,4025.47,4126.6,,,,,,,,,,,,,,,,,,,,
,"D.P.T, III (000)",,,,,,,,,,,,,,,,,,,,,,,3406.26,2875.69,4012.26,3935.58,3831.3,4273.18,3918.2,4112.54,3795.57,3982.97,3839.57,3918.79,,3656.5,4356.17,,,,,,,,,,,,,,,,,
,"PENTAVALENT, I (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5924.99,5862.89,5606.33,,,5843.5,5713.7,5933.6,6009,5526.7,6725.8,6145.7,6650.3,6950.9,7226.4,7038.8,
,"PENTAVALENT, II (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461.29,5555.14,5266.81,,,5491,5353.2,5532.2,5625,6139.5,6360.6,5766.4,6224.7,6518.1,6682.2,6657.2,
,"PENTAVALENT, III (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338.52,5407.25,5129.02,,,5370.8,5225.9,5371.7,5472,5676,6231.3,5665.8,6167.6,6532.5,6673.8,6619.3,
,"Tetanus Toxoid, I (000)",,,,,,,,,,,,,,,,,,,5191.84,4348.08,3593.44,3311.16,3231.95,2871.2,3829.8,3732.95,3861.4,4282.26,4091.47,4179.31,4678.27,3590.79,3391.49,4539.13,4069.37,3877.9,4307.09,4919.76,5050.17,5089.9,,,4536.5,5048.2,4569.7,4690.3,4874.9,5272.2,4993.8,4966.7,5074.3,5440.6,4909.5,
,"Tetanus Toxoid, II (000)",,,,,,,,,,,,,,,,,,,3670.42,3728.08,2906.55,2625.32,2510.44,2234.12,3041.82,2911.65,3037.44,3324.65,3273.91,3286.38,3539.71,2969.66,2649.56,2857.93,3133.45,3048.35,3384.97,3791.73,4065.12,4121.03,,,3708.5,4063.1,3934.9,3993.8,4103.6,4560.7,4366.7,4323.6,4311.2,4808.7,4832.8,
,"Tetanus Toxoid, III (000)",,,,,,,,,,,,,,,,,,,,,745.97,672.16,714.45,750.54,987.92,1097.75,1025.01,1056.39,928.09,868.82,1278.08,1423.28,765.27,793.13,894.64,810.02,865.69,937.77,897.01,812.88,,,577.7,586.7,398.5,191.4,192.5,260.7,225.1,207,431.3,484.4,1883.3,
,"Tetanus Toxoid, IV (000)",,,,,,,,,,,,,,,,,,,,,87.67,223.83,240.26,239.63,401.36,446.04,425.54,485,318.46,311,310.45,337.97,292.94,519.09,286.37,239.06,279.02,284.88,268.21,234.37,,,185.4,157.9,97.8,51.9,57.9,70.8,60.1,58,119.3,140.3,229.3,
,"Tetanus Toxoid, V (000)",,,,,,,,,,,,,,,,,,,,,13.45,86.18,97.28,99.99,166.41,250.96,219.99,308.48,152.34,163.75,159.4,163.7,131.89,157.38,176.53,141.29,152.08,168.86,164.97,127.23,,,105.8,86.6,56.8,27.5,30.7,37,27.6,26.3,60.6,102.1,94.2,
,"MEASLES, I (000)",,,,,,,,,,,,,,,,,,,4392.78,3985.03,4003.31,3818.55,3690.32,2991.39,4427.78,4242.4,4149.78,4794.41,4277.47,4546.63,4105.61,4163.03,4124.96,4387.21,5050.35,5386.1,5277.77,5297.36,5299.64,8211.27,,,5370.8,5192.1,5516.8,5606.5,5455.4,6216.6,6284.2,5504.6,6420.5,6902.6,6293.8,
,"MEASLES, II (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.31,2799.72,,,,4684.7,4684.7,4684.7,4710.9,4734,5492.7,5617.2,5492.6,5993.4,6520.4,6525.5,
,"PNEUMOCOCCAL (PCV10), I (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5526.3,5641.8,5884.3,5994.4,5528.7,6724.8,6590.8,6576.3,6953.7,7170.4,6885.4,
,"PNEUMOCOCCAL (PCV10), II (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5197.4,5388.6,5505.8,5605.1,6135.8,6356.5,6225.8,6145,6545.2,6680.8,6510.4,
,"PNEUMOCOCCAL (PCV10), III (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5072.4,5175.9,5374.9,5470.6,5673.4,6228.7,6127,6083.2,6514.2,6672.3,6451.1,
,"PENTAVALENT (Vaccine/doze), I (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6950.9,7226.4,7038.8,
,"PENTAVALENT (Vaccine/doze),II (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6518.1,6682.2,6657.2,
