Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,General Government GFCF of Public Administration and Social Security (General Government) at Current Prices (Rs Million),,50868,52017,52057,66164,95700,120753,163902,232436,270800,359162,340511,370178,487649,427367,514388,624622,750084,967642,1229418,804220,888918,1070774,1634531,1777696,1798449.047,2753287,2819937
,General Government GFCF of Education at Current Prices (Rs Million),,5208,5325,5329,6774,9798,12363,16780,20300,30506,35318,35355,38435,62110,36649,54706,70114,80403,74026,69232,59004,56683,101795,81784,85818,67009.82729,163140,215166
,General Government GFCF of Human health and social work activities at Current Prices (Rs Million),,5716,5845,5850,7435,10754,13569,18418,14436,38898,42057,35555,38653,49505,42758,25412,54314,37389,47746,60448,35306,49899,68848,81747,71056,73060.58085,123737,122506
GFCF at Constant Prices 2015-16 (Rs Million),,,2465567,2586086,2517718,2752144,3017815,3303000,3935866,4069238,4220049,4045528,3734245,3412393,3538085,3624603,3745892,4257588,4657149,5017178,5533617,4921409,4592834,4761190,4978900,4179392,4127041.414,4722501.917,5045453.383
Private & Public GFCF at Constant Prices 2015-16 (Rs Million),,,2244065,2368330,2305961,2494697,2671661,2892652,3430316,3434578,3513646,3283285,3103426,2846663,2851721,3083930,3159419,3516322,3789273,3974178,4297734,4216955,3884949,3954385,4043396,3421475,3495015.266,3749742.917,4075076.383
,"Private & Public GFCF of Agriculture, Forestry & Fishing at Constant Prices 2015-16 (Rs Million)",,618997,617955,634218,665464,679598,697879,732966,747599,754399,795179,827537,838209,830614,860785,855527,901052,904250,954120,988985,996522,996479,1043770,1087897,1053047,1112656,1119651,1148460
,Private & Public GFCF of Mining and Quarrying at Constant Prices 2015-16 (Rs Million),,75699,82912,90822,271861,170389,58561,84103,99889,82427,99525,116267,75171,82735,59703,82449,88020,122166,101274,71341,57706,55167,37088,37983,45496,45943,47853,54586
,Private & Public GFCF of Manufacturing at Constant Prices 2015-16 (Rs Million),,429434,467142,497420,465086,546029,611510,759480,671386,683459,657929,455519,371518,373988,448532,431301,483154,723845,720981,739446,706175,627453,625998,599711,449473,411460,420234,424433
,,Private & Public GFCF of Large Scale at Constant Prices 2015-16 (Rs Million),402620,437919,465563,430349,508145,570185,714394,623072,631681,602434,396034,307753,305629,375243,352724,398899,633494,622096,631209,587689,497732,502193,475433,360394,335948,331281,319274
,,Private & Public GFCF of Small Scale (including Slaughtering) at Constant Prices 2015-16 (Rs Million),26814,29224,31858,34737,37884,41325,45086,48314,51779,55496,59485,63765,68359,73290,78578,84256,90351,98885,108237,118486,129721,123805,124278,89079,75512,88953,105159
,Private & Public GFCF of Electricity Gas and Water Supply at Constant Prices 2015-16 (Rs Million),,193420,191905,98530,124374,79174,94406,123320,105627,128085,177697,168425,193091,169410,196135,128622,239391,201651,183994,363600,399832,239057,220800,205300,177735,213420.2515,237251.5459,240032.9254
,Private & Public GFCF of Construction at Constant Prices 2015-16 (Rs Million),,40884,37022,43823,16037,20349,41138,52851,64854,60472,69403,50797,31671,37820,40148,62158,50490,64882,107742,78075,36618,38333,35276,50595,30938,27532.01411,38117.37117,55061.45757
,Private & Public GFCF of Wholesale and Retail Trade at Constant Prices 2015-16 (Rs Million),,94870,100511,102949,109799,121557,138552,151735,160613,169705,164578,167493,170926,173799,179966,188550,193547,202799,221295,274423,337356,290600,297684,244641,157724,167852,233741,364792
,Private & Public GFCF of Accommodation and Food Services Activities (Hotels & Restaurants) at Constant Prices 2015-16 (Rs Million),,39512,41124,42802,44549,46366,48258,50227,52276,54409,56629,58939,61344,63847,66452,69163,71985,74922,89007,77829,67246,41238,37077,30504,18891,20094,68480,74188
,Private & Public GFCF of Transport and Storage at Constant Prices 2015-16 (Rs Million),,211155,250506,217130,214327,310075,363330,429733,367649,348414,249653,286474,245363,242014,308785,267824,367376,416691,471198,555163,437579,259458,392552,431553,240810,206085,211459,220980
,Private & Public GFCF of Information and Communication at Constant Prices 2015-16 (Rs Million),,80066,104999,72611,49385,131437,250117,422868,504846,544103,310814,258138,131124,113787,121089,246394,250234,158036,150510,130204,121632,262277,150167,214673,72790,65287,75548,139214
,Private & Public GFCF of Finance and Insurance Activities at Constant Prices 2015-16 (Rs Million),,30034,24470,34340,36297,42455,44491,51962,65286,70264,61094,46001,35331,40289,49510,39073,47736,56520,62897,56060,57198,55568,62162,62091,55201,66176,89596,96703
,Private & Public GFCF of Real Estate Activities (OD) at Constant Prices 2015-16 (Rs Million),,279671,290858,302492,314592,327176,340263,353873,368028,382749,398059,413982,430541,447762,465673,484300,503672,523819,543355,563585,584065,604777,626873,649919,673768,698750,724617,751581
,Private & Public GFCF of Public Administration and Defence; compulsory social security at Constant Prices 2015-16 (Rs Million),,182344,179260,174322,211934,284959,337804,416177,552147,562292,627138,522096,468224,558526,455955,507437,618132,750084,926416,1117958,630514,632097,695903,850422,696457,586358.3611,880967,866606
,Private & Public GFCF of Education at Constant Prices 2015-16 (Rs Million),,69949,72807,75672,87293,103297,109836,120000,127723,144014,143450,138000,132673,157545,127034,144886,163449,179991,175242,174250,161297,161121,184036,164327,160315,153856.5873,188424,206717
,Private & Public GFCF of Human Health and Social Work Activities at Constant Prices 2015-16 (Rs Million),,44137,44985,45778,51970,61599,68988,79318,68988,117323,111803,94752,91248,101561,92875,74602,105900,92531,104203,117045,93289,104484,117736,120045,113327,114062.3482,134851,138203
,Private & Public GFCF of Other Private Services at Constant Prices 2015-16 (Rs Million),,75394,79629,84806,89176,93355,97866,107254,112329,117933,122576,129826,135957,144387,151960,163606,173451,184962,204944,225651,234380,224726,234068,229240,233420,237509,251712,263897
Private Sector GFCF at Constant Prices 2015-16 (Rs Million),,,1759904,1858920,2002787,2242883,2393746,2584124,3082197,3092556,3180257,3040759,2855245,2642382,2663827,2769275,2931166,3213075,3537220,3621176,3879013,3812927,3627468,3681814,3758192,3226094,3315587.674,3565330.18,3872290.493
,"Private Sector GFCF of Agriculture, forestry and fishing at Constant Prices 2015-16 (Rs Million)",,611916,616343,625420,662350,679374,697452,732421,747100,753882,794703,827032,837747,830148,860641,855394,900894,904045,953943,988757,996336,996250,1043597,1087724,1052854,1112465,1119388,1148193
,,Private Sector GFCF of Crops at Constant Prices 2015-16 (Rs Million),161554,152181,144068,163275,163107,162306,177131,175147,166494,190390,206589,200778,175852,187228,170147,192370,176622,206283,219931,206156,182757,206978,225734,175303,198310,183826,185259
,,Private Sector GFCF of Cotton Ginning at Constant Prices 2015-16 (Rs Million),759,774,790,805,822,838,855,872,889,907,925,944,963,982,1001,1022,1042,1063,1084,1106,1128,1150,1173,1197,1221,1245,1270
,,Private Sector GFCF of Livestock at Constant Prices 2015-16 (Rs Million),415670,429332,446046,462232,479838,498510,518457,534577,549719,566507,582410,599868,616981,635988,647422,670463,689165,709222,730231,751233,774253,797164,822266,837611,873498,894353,921350
,,Private Sector GFCF of Forestry at Constant Prices 2015-16 (Rs Million),988,1009,1031,1053,1076,1099,1123,1148,1173,1198,1224,1251,1278,1306,1334,1363,1392,1423,1453,1485,1517,1550,1584,1618,1653,1689,1726
,,Private Sector GFCF of Fishing at Constant Prices 2015-16 (Rs Million),32945,33046,33485,34985,34531,34699,34854,35356,35607,35701,35884,34907,35075,35137,35491,35677,35824,35952,36058,36356,36595,36755,36967,37125,37783,38275,38588
,Private Sector GFCF of Mining and Quarrying at Constant Prices 2015-16 (Rs Million),,68886,58153,65377,238703,160188,42801,66933,49830,56956,70746,93979,56385,58409,41990,60000,56244,94113,38317,47307,43443,39790,21993,24573,35011,40191,38972,43525
,Private Sector GFCF of Manufacturing (A+B) at Constant Prices 2015-16 (Rs Million),,353495,419269,492738,460602,535874,605524,750314,664675,681034,654176,453323,368211,370685,442368,425526,481412,722512,693978,731594,704791,621324,616643,588222,446127,406841,418790,421704
,,Private Sector GFCF of Large Scale at Constant Prices 2015-16 (Rs Million),326681,390045,460881,425865,497990,564199,705229,616361,629255,598680,393838,304446,302327,369078,346949,397157,632161,595093,623357,586305,491603,492838,463944,357048,331329,329837,316545
,,Private Sector GFCF of Small Scale (including Slaughtering) at Constant Prices 2015-16 (Rs Million),26814,29224,31858,34737,37884,41325,45086,48314,51779,55496,59485,63765,68359,73290,78578,84256,90351,98885,108237,118486,129721,123805,124278,89079,75512,88953,105159
,"Private Sector GFCF of Electricity, gas, and water supply at Constant Prices 2015-16 (Rs Million)",,19464,21182,32295,28308,16235,19148,22698,22766,32831,75511,48147,86221,89199,31282,42983,77363,46543,41949,117837,74272,59696,46394,58915,64416,89919.72426,114169.5459,113219.0359
,Private Sector GFCF of Construction at Constant Prices 2015-16 (Rs Million),,34007,31567,35408,9022,13038,32771,40413,40999,35639,48100,35595,21312,24642,23046,42309,41294,59704,102132,72006,35819,35207,28476,31520,14729,18152.95005,26475.63374,42534.45757
,Private Sector GFCF of Wholesale and retail trade at Constant Prices 2015-16 (Rs Million),,94870,100511,102949,109799,121557,138552,151735,160613,169705,164578,167493,170926,173799,179966,188550,193547,202799,221295,274423,337356,290600,297684,244641,157724,167852,233741,364792
,Private Sector GFCF of Accommodation and food service activities (Hotels and Restaurants) at Constant Prices 2015-16 (Rs Million),,39512,41124,42802,44549,46366,48258,50227,52276,54409,56629,58939,61344,63847,66452,69163,71985,74922,89007,77829,67246,41238,37077,30504,18891,20094,68480,74188
,Private Sector GFCF of Transportation and Storage at Constant Prices 2015-16 (Rs Million),,79931,86711,97418,148649,190414,233223,297252,268625,248042,210250,239174,208005,207096,233160,216762,313577,389786,404424,450369,404459,241910,355995,402091,215984,190092,199292,203309
,Private Sector GFCF of Information and communication at Constant Prices 2015-16 (Rs Million),,9810,17305,8519,14222,67373,180459,351939,435397,466974,273383,224353,108147,90324,99322,207908,211163,129729,118300,106218,99089,232167,127414,162248,53722,51915,58344,117552
,Private Sector GFCF of Financial and Insurance activities at Constant Prices 2015-16 (Rs Million),,18020,16971,28546,29160,39096,41526,47193,55721,62876,51899,39374,31171,32259,38224,34210,42258,49556,46671,50065,51025,49967,54730,49306,47265,59555,79866,86648
,Private Sector GFCF of Real estate activities (Ownership of Dwellings) at Constant Prices 2015-16 (Rs Million),,279671,290858,302492,314592,327176,340263,353873,368028,382749,398059,413982,430541,447762,465673,484300,503672,523819,543355,563585,584065,604777,626873,649919,673768,698750,724617,751581
,Private Sector GFCF of Education at Constant Prices 2015-16 (Rs Million),,51280,54455,57825,65596,74123,75252,77392,79501,80670,81781,83792,84058,86407,87934,90919,94064,99588,104370,111295,115037,120815,117879,121776,126694,132009,136224,140593
,Private Sector GFCF of Human health and social work activities at Constant Prices 2015-16 (Rs Million),,23648,24842,26190,28155,29578,31029,32553,34696,36555,38367,40237,42357,44861,47258,49534,52150,55142,58491,62077,65609,69002,72991,77513,85489,90242,95259,100555
,Private Sector GFCF of Other Private Services at Constant Prices 2015-16 (Rs Million),,75394,79629,84806,89176,93355,97866,107254,112329,117933,122576,129826,135957,144387,151960,163606,173451,184962,204944,225651,234380,224726,234068,229240,233420,237509,251712,263897
Public Sector and General Govt. GFCF at Constant Prices 2015-16 (Rs Million),,,705664,727166,514930,509261,624068,718876,853669,976683,1039792,1004769,879000,770010,874257,855328,814726,1044514,1119929,1396002,1654604,1108482,965366,1079376,1220708,953298,811453.7394,1157171.737,1173162.89
Public Sector GFCF (Autonomous & Semi Auto-Bodies) at Constant Prices 2015-16 (Rs Million),,,484162,509410,303174,251814,277914,308529,348119,342023,333389,242526,248181,204281,187894,314655,228254,303247,252053,353002,418721,404028,257481,272571,285204,195381,179427.5913,184412.7374,202785.8895
,"Public Sector GFCF of Agriculture, Forestry & Fishing at Constant Prices 2015-16 (Rs Million)",,7081,1612,8798,3114,225,427,545,498,517,475,504,462,466,144,133,158,205,177,228,186,229,173,173,193,191,263,267
,Public Sector GFCF of Mining and Quarrying at Constant Prices 2015-16 (Rs Million),,6813,24759,25445,33158,10201,15760,17170,50059,25471,28779,22288,18786,24326,17713,22449,31776,28053,62957,24034,14263,15377,15095,13410,10485,5752,8881,11061
,Public Sector GFCF of Manufacturing (Large Scale) at Constant Prices 2015-16 (Rs Million),,75939,47874,4682,4484,10155,5986,9165,6711,2426,3754,2196,3307,3302,6165,5775,1742,1333,27003,7852,1384,6129,9355,11489,3346,4619,1444,2729
,"Public Sector GFCF of Electricity, Gas & Water Supply at Constant Prices 2015-16 (Rs Million)",,173956,170723,66235,96066,62939,75258,100622,82861,95255,102186,120278,106871,80211,164853,85638,162028,155108,142045,245763,325560,179361,174406,146385,113319,123500.5273,123082,126813.8895
,Public Sector GFCF of Construction at Constant Prices 2015-16 (Rs Million),,6877,5455,8416,7014,7310,8367,12438,23855,24833,21303,15202,10360,13178,17102,19849,9195,5178,5610,6069,799,3126,6800,19075,16208,9379.064064,11641.73743,12527
,Public Sector GFCF of Transport & Storage at Constant Prices 2015-16 (Rs Million),,131224,163795,119712,65679,119661,130107,132481,99024,100371,39402,47300,37358,34918,75625,51062,53799,26905,66774,104794,33120,17548,36557,29462,24826,15993,12167,17671
,,Public Sector GFCF of Railways at Constant Prices 2015-16 (Rs Million),11958,14927,10909,5985,10905,11857,12073,8742,8651,3330,16673,2702,4885,26115,8648,6132,5825,37729,7845,11456,4452,2755,3734,7155,7048,8773,7738
,,Public Sector GFCF of Post Office & PTCL at Constant Prices 2015-16 (Rs Million),270,337,246,135,246,268,273,282,136,122,99,61,39,30,0,5,0,1,0,782,1094,1,-1,0,1,0,0
,,Public Sector GFCF of Others at Constant Prices 2015-16 (Rs Million),118996,148531,108556,59558,108510,117983,120135,90000,91584,35950,30528,34595,29994,49480,42414,47663,21080,29044,96949,20882,12002,33801,25729,17671,8944,3394,9933
,Public Sector GFCF of Information and Communication at Constant Prices 2015-16 (Rs Million),,70256,87694,64092,35164,64065,69658,70929,69449,77129,37432,33785,22978,23463,21767,38486,39071,28307,32210,23986,22543,30110,22753,52425,19068,13372,17204,21662
,Public Sector GFCF of Finance & Insurance at Constant Prices 2015-16 (Rs Million),,12014,7498,5794,7136,3359,2965,4769,9565,7388,9195,6627,4160,8030,11286,4862,5477,6964,16226,5995,6173,5601,7432,12785,7936,6621,9730,10055
General Govt. GFCF at Constant Prices 2015-16 (Rs Million),,,221502,217756,211757,257447,346154,410347,505550,634660,706404,762243,630819,565729,686363,540674,586472,741267,867876,1043000,1235883,704454,707885,806805,935504,757917,632026.1481,972759,970377
,General Govt. GFCF of Federal at Constant Prices 2015-16 (Rs Million),,64126,59302,71121,72444,88077,78008,97324,109962,139288,206485,205326,170019,170397,161954,166962,212448,235406,300982,326495,277926,275350,310121,282133,231674,203261.9859,255646,270220
,General Govt. GFCF of Provincial at Constant Prices 2015-16 (Rs Million),,125956,119596,65677,94572,161220,216544,311744,364781,376441,372429,337075,306782,426894,307761,353942,438050,527461,657410,826695,363664,375432,424909,565189,456120,366875.7641,637367,583573
,General Govt. GFCF of District Governments at Constant Prices 2015-16 (Rs Million),,31419,38858,74958,90430,96858,115795,96481,159917,190675,183330,88419,88929,89072,70959,65568,90769,105009,84608,82693,62863,57103,71776,88182,70123,61888.39802,79746,116584
General Govt. GFCF (By industries) at Constant Prices 2015-16 (Rs Million),,,221502,217756,211757,257447,346154,410347,505550,634660,706404,762243,630819,565729,686363,540674,586472,741267,867876,1043000,1235881,704453,707886,806805,935504,757917,632026.1481,972759,970377
,General Govt. GFCF of Public Administration and Social Security (General Government) at Constant Prices 2015-16 (Rs Million),,182344,179260,174322,211934,284959,337804,416177,552147,562292,627138,522096,468224,558526,455955,507437,618132,750084,926416,1117958,630514,632097,695903,850422,696457,586358.3611,880967,866606
,General Govt. GFCF of Education at Constant Prices 2015-16 (Rs Million),,18668,18352,17847,21698,29174,34584,42608,48222,63344,61670,54209,48615,71138,39100,53967,69385,80403,70872,62955,46260,40306,66157,42551,33621,21847.58727,52200,66124
,General Govt. GFCF of Human health and social work activities at Constant Prices 2015-16 (Rs Million),,20490,20143,19588,23815,32021,37959,46765,34292,80767,73436,54515,48890,56700,45618,25068,53750,37389,45712,54968,27680,35482,44745,42532,27838,23820.34816,39592,37648
