Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,,Important Crops (% of GDP),7.4,6.4,6,6,5.6,6.2,5.7,5.9,5.4,5.7,5.3,5.3,5.5,5.4,5.6,5.3,4.8,4.7,4.6,4.1,4.4,4.4,4.3,4.4,5,4.2,
,,Other Crops (% of GDP),6.3,5.9,5.6,5.2,4.9,4.7,4.6,4.5,4.4,4.4,3.9,3.9,3.4,3.5,3.2,3.1,3,2.8,2.8,2.8,3.1,3.1,3.3,3.3,3.2,3.7,
,,Cotton Ginning (% of GDP),0.8,0.8,0.7,0.7,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.3,
,Livestock (% of GDP),,15.3,15.6,15.9,15.8,15.4,14.9,14.8,14.4,14.4,14.7,15,15.1,15.3,15.2,15.1,15.1,14.9,14.6,14.3,14.3,14.9,14.4,13.9,14.4,14.7,14.6,
,Forestry (% of GDP),,1.3,1.4,1.4,1.5,1.5,1.2,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,
,Fishing (% of GDP),,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,
Industrial Sector at Basic Prices (% of GDP),,,16.7,17.2,17.1,17.3,18.8,19,18.6,19,19.7,18.7,19,19.3,19.2,18.7,18.8,19.1,19.5,19.5,20,19.5,18.5,19,19.1,18.4,17.8,18.2,
,Mining & Quarrying (% of GDP),,2.4,2.5,2.6,2.7,3.1,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.3,2.2,2.2,2.3,2.1,2.2,2.1,2,1.9,1.7,1.6,1.5,1.4,
,Manufacturing (% of GDP),,8.9,9.5,9.6,9.9,10.6,11.4,11.9,12.3,12.5,11.8,11.8,11.7,11.6,11.7,12,12,12,12.1,12.2,12.3,11.5,12,12.5,11.9,11.9,11.8,
,,Large Scale (% of GDP),7.1,7.6,7.7,7.9,8.7,9.5,10,10.3,10.5,9.7,9.6,9.4,9.2,9.3,9.4,9.4,9.3,9.3,9.3,9.4,8.4,8.9,9.3,8.4,8.3,8,
