chapter_num,chapter_name,chapter_fa,path,name,level,last_year,last_value,first_year,first_value,n_points
9,Trade and Payments,تجارت و تراز پرداخت‌ها,"Exchange Rate Position (Pakistan Rupees in Terms of One Unit of Selected Foreign Currencies) > Thailand (Baht, Average During the Year)","Thailand (Baht, Average During the Year)",1,2024-25,8.240639972,1957-58,0.256196,67
9,Trade and Payments,تجارت و تراز پرداخت‌ها,"Exchange Rate Position (Pakistan Rupees in Terms of One Unit of Selected Foreign Currencies) > UAE (Dirham, Average During the Year)","UAE (Dirham, Average During the Year)",1,2024-25,76.05550177,1965-66,1.0016,60
9,Trade and Payments,تجارت و تراز پرداخت‌ها,"Exchange Rate Position (Pakistan Rupees in Terms of One Unit of Selected Foreign Currencies) > UK (Pound, Average During the Year)","UK (Pound, Average During the Year)",1,2024-25,361.4749624,1957-58,13.34,68
9,Trade and Payments,تجارت و تراز پرداخت‌ها,"Exchange Rate Position (Pakistan Rupees in Terms of One Unit of Selected Foreign Currencies) > USA (Dollar, Average During the Year)","USA (Dollar, Average During the Year)",1,2024-25,279.3489689,1957-58,4.77,68
9,Trade and Payments,تجارت و تراز پرداخت‌ها,"Exchange Rate Position (Pakistan Rupees in Terms of One Unit of Selected Foreign Currencies) > EMU (Euro, Average During the Year)","EMU (Euro, Average During the Year)",1,2024-25,303.9653324,2001-02,54.9991,24
9,Trade and Payments,تجارت و تراز پرداخت‌ها,"Exchange Rate Position (Pakistan Rupees in Terms of One Unit of Selected Foreign Currencies) > IMF (SDR, Average During the Year)","IMF (SDR, Average During the Year)",1,2024-25,371.8092613,1957-58,4.7619,68
10,Public Debt,بدهی عمومی,Domestic Debt (Rs. billion),Domestic Debt (Rs. billion),0,2024-25,54472,1970-71,14,55
10,Public Debt,بدهی عمومی,External Debt (Rs. billion),External Debt (Rs. billion),0,2024-25,26047,1970-71,16,55
10,Public Debt,بدهی عمومی,Total Public Debt (Rs. billion),Total Public Debt (Rs. billion),0,2024-25,80518,1970-71,30,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex","Number of Educational Institutions By Kind, Level & Sex",0,,,,,0
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Primary Schools (000), Total","Primary Schools (000), Total",1,2024-25,155,1970-71,43.7,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Primary Schools (000), Female","Primary Schools (000), Female",1,2024-25,66.7,1970-71,12.1,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Middle Schools (000), Total","Middle Schools (000), Total",1,2024-25,43.9,1970-71,3.8,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Middle Schools (000), Female","Middle Schools (000), Female",1,2024-25,21.9,1970-71,0.9,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > High Schools (000), Total","High Schools (000), Total",1,2024-25,48.7,1970-71,2.1,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > High Schools (000), Female","High Schools (000), Female",1,2024-25,25.1,1970-71,0.5,55
